,Nation oder Organisation,Name der Sonde,Typ,Missonsname/ Programmname,Dauer,Dauer,Status,Untersuchungsobjekt(e) und Missionsziele,"Position der Sonde, falls abweichend vom Untersuchungsobjekt"
,Nation oder Organisation,Name der Sonde,Typ,Missonsname/ Programmname,von,bis,Status,Untersuchungsobjekt(e) und Missionsziele,"Position der Sonde, falls abweichend vom Untersuchungsobjekt"
167,Vereinigte Staaten,STEREO B,Orbiter,STEREO,2006,2018,Beendet⁠5,Wechselwirkung Sonne/Erde und Sonne,Sonnenorbit
168,Vereinigte Staaten  Dänemark  Deutschland  Finnland  Vereinigtes Königreich  Kanada  Schweiz,Phoenix,Lander,Mars Scout,2007,2008,Beendet,Mars,
169,Vereinigte Staaten,MAVEN,Orbiter,Mars Scout,2013,–,Aktiv⁠1,Mars,
170,Vereinigte Staaten,Lunar Reconnaissance Orbiter und LCROSS,"Orbiter, Impaktor",Lunar Quest,2009,–,Aktiv⁠1,Erdmond,
171,Vereinigte Staaten,LADEE (Lunar Atmosphere and Dust Environment Explorer),Orbiter,Lunar Quest,2013,2014,Beendet,Erdmond,
172,Vereinigte Staaten,DSCOVR,Orbiter,–,2015,–,Aktiv,"Sonnenwinde, Erdbeobachtung",Lagrange-Punkt L1
173,Vereinigte Staaten,Parker Solar Probe,Orbiter,–,2018,–,Aktiv,Sonne,
174,Vereinigte Staaten,Perseverance,Rover,Mars 2020,2020,–,Aktiv,Mars,
175,Vereinigte Staaten,Ingenuity,Atmosphärische Flugsonde,Mars 2020,2020,–,Aktiv⁠1,"Mars, Technologiedemonstration",
176,Vereinigte Staaten,DART,Impaktor,DART / AIDA,2021,2022,Beendet,Doppelasteroid (65803) Didymos,
177,Vereinigte Staaten,LICIACube,Flyby-Sonde,DART / AIDA,2021,–,Aktiv,Doppelasteroid (65803) Didymos,
178,Vereinigte Staaten,Capstone,Orbiter,Artemis,2022,–,Aktiv,Erdmond,
179,Vereinigte Staaten,Artemis I,Orbiter,Artemis,2022,2022,Beendet,Erdmond,
180,Vereinigte Staaten,Near-Earth Asteroid Scout,Flyby-Sonde,–,2022,–,Aktiv,Erdnaher Asteroid,
181,Vereinigte Staaten,Peregrine Mission One,"Lander, Rover","CLPS, Astrobotic Technology",2022,–,Geplant,Erdmond,
182,Vereinigte Staaten,Griffin Mission One,"Lander, ???","CLPS, Astrobotic Technology",2023,–,Geplant,Erdmond,
183,Vereinigte Staaten,IM-1,"Lander, Rover","CLPS, Intuitive Machines, LCC",2022,–,Geplant,Erdmond,
184,Vereinigte Staaten,IM-2,Lander,"CLPS, Intuitive Machines, LCC",2022,–,Geplant,Erdmond,
185,Vereinigte Staaten,IM-3,"Lander, ???","CLPS, Intuitive Machines, LCC",2024,–,Geplant,Erdmond,
186,Vereinigte Staaten,Blue Ghost,Lander,"CLPS, Firefly Aerospace",2023,–,Geplant,Erdmond,
187,Vereinigte Staaten  Japan,"ArgoMoon, LunaH-Map, Lunar IceCube, LunIR, Omotenashi, Team Miles",Orbiter,–,2022,–,Geplant,Erdmond,
188,Vereinigte Staaten,Janus A und Janus B,Orbiter (?),–,2022,–,Geplant,Doppelasteroiden (175706) 1996 FG3 und (35107) 1991 VH,
189,Vereinigte Staaten,Masten Mission One (auch: XL-1),Lander,Masten Space Systems,2023,–,Geplant,Erdmond,
190,Vereinigte Staaten,Europa Clipper,Orbiter,–,2024,–,Geplant,"Jupiter, speziell Europa",
191,Vereinigte Staaten,Escapade Blue und Escapade Gold,Orbiter,–,2024,–,Geplant,Mars,
192,Vereinigte Staaten,Lunar Trailblazer,Orbiter,–,2025,–,Geplant,Erdmond,
193,Vereinigte Staaten,DAVINCI,"Orbiter, Atmosphärische Flugsonde",–,2028,–,Geplant,Venus,
194,ESA,Giotto,Flyby-Sonde,–,1985,1992,Beendet,Kometen Halley und Grigg-Skjellerup,
195,ESA,Mars Express,Orbiter,Mars Express-Beagle 2,2003,–,Aktiv⁠1,Mars,
